,Accession,Egg Description,Egg Name,Gene Size,Gene Start,Strand,Egg GOs,Egg EC,KEGG KO,KEGG Pathway,KEGG Module,KEGG Reaction,KEGG Reaction Class,Egg BRITE,KEGG TC,CAZy,BiGG Reaction,PFAMs
Ribosomal protein L11 methyltransferase,2715,Ribosomal protein L11 methyltransferase,prmA,923,2804402,+,-,-,ko:K02687,-,-,-,-,"ko00000,ko01000,ko03009",-,-,-,PrmA
hypothetical protein_89,2721,Diacylglycerol kinase catalytic domain,-,452,2810838,+,-,-,-,-,-,-,-,-,-,-,-,DAGK_cat
Peptide methionine sulfoxide reductase MsrA,2730,Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine,msrA,515,2818558,+,-,1.8.4.11,ko:K07304,-,-,-,-,"ko00000,ko01000",-,-,-,PMSR
hypothetical protein_464,2731,COG0526 Thiol-disulfide isomerase and thioredoxins,-,773,2819362,+,-,-,-,-,-,-,-,-,-,-,-,AhpC-TSA
hypothetical protein_465,2732,HCO3- transporter family,-,1595,2820219,-,-,-,-,-,-,-,-,-,-,-,-,HCO3_cotransp
Glycine betaine/carnitine/choline transport ATP-binding protein OpuCA,2734,pfam abc,-,743,2822387,+,-,-,ko:K05847,"ko02010,map02010",M00209,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.12,-,-,ABC_tran
hypothetical protein_578,2735,ABC-type glycine betaine transport system,-,1532,2823127,+,-,-,"ko:K05845,ko:K05846","ko02010,map02010",M00209,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.12,-,-,"BPD_transp_1,OpuAC"
hypothetical protein_579,2736,IclR helix-turn-helix domain,-,647,2824678,-,-,-,-,-,-,-,-,-,-,-,-,HTH_24
Fatty acid resistance protein FarB,2737,Major facilitator superfamily,-,1616,2825984,+,-,-,ko:K03446,-,M00701,-,-,"ko00000,ko00002,ko02000",2.A.1.3,-,-,MFS_1
Outer membrane protein OprM,2738,PFAM Outer membrane efflux protein,-,1547,2827597,+,-,-,-,-,-,-,-,-,-,-,-,OEP
Multidrug export protein EmrA,2739,"Secretion protein, HlyD",-,1115,2829206,+,-,-,ko:K03543,-,M00701,-,-,"ko00000,ko00002,ko02000",8.A.1.1,-,-,HlyD_D23
hypothetical protein_302,2748,exo-alpha-(2->6)-sialidase activity,-,1418,2841380,+,-,-,-,-,-,-,-,-,-,-,-,-
Thiol-disulfide oxidoreductase ResA,2749,Thioredoxin-like,-,542,2842795,+,-,-,-,-,-,-,-,-,-,-,-,AhpC-TSA
hypothetical protein_196,2762,PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides,-,629,2854879,+,-,5.2.1.8,ko:K03768,-,-,-,-,"ko00000,ko01000,ko03110",-,-,-,Pro_isomerase
hypothetical protein_280,2763,Putative MetA-pathway of phenol degradation,-,860,2855533,+,-,-,-,-,-,-,-,-,-,-,-,Phenol_MetA_deg
hypothetical protein_279,2766,CsbD-like,yjbJ,308,2858074,+,-,-,-,-,-,-,-,-,-,-,-,CsbD
Vitamin B12 import ATP-binding protein BtuD,2768,Part of the ABC transporter complex ModABC involved in molybdenum import. Responsible for energy coupling to the transport system,modC,1061,2859403,+,-,3.6.3.29,ko:K02017,"ko02010,map02010",M00189,-,-,"ko00000,ko00001,ko00002,ko01000,ko02000",3.A.1.8,-,-,"ABC_tran,TOBE"
hypothetical protein_201,2769,-,-,167,2860740,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_278,2770,-,-,248,2861016,-,-,-,-,-,-,-,-,-,-,-,-,-
Molybdenum-pterin-binding protein MopA,2771,"Transcriptional regulator, ModE family",-,809,2862045,-,-,-,ko:K02019,-,-,-,-,"ko00000,ko03000",-,-,-,"HTH_1,TOBE"
Cyclic di-GMP phosphodiesterase CdgJ,2773,EAL domain,-,995,2863905,-,-,-,-,-,-,-,-,-,-,-,-,"EAL,HDOD"
hypothetical protein_24,2779,ribosome binding,-,263,2868915,+,-,-,-,-,-,-,-,-,-,-,-,DUF883
hypothetical protein_23,2780,-,-,440,2869184,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_277,2781,-,-,323,2869590,+,-,-,-,-,-,-,-,-,-,-,-,-
Outer membrane protein TolC,2784,"type I secretion outer membrane protein, TolC",-,1397,2872891,+,-,-,ko:K12340,"ko01501,ko01503,ko02020,ko03070,ko04626,ko05133,map01501,map01503,map02020,map03070,map04626,map05133","M00325,M00326,M00339,M00571,M00575,M00646,M00647,M00696,M00697,M00709,M00720,M00821",-,-,"ko00000,ko00001,ko00002,ko01504,ko02000,ko02044","1.B.17,2.A.6.2",-,-,OEP
3-deoxy-D-manno-octulosonic acid transferase,2785,PFAM Three-deoxy-D-manno-octulosonic-acid transferase,-,1310,2874263,-,-,"2.4.99.12,2.4.99.13,2.4.99.14,2.4.99.15",ko:K02527,"ko00540,ko01100,map00540,map01100","M00060,M00080","R04658,R05074,R09763","RC00009,RC00077,RC00247","ko00000,ko00001,ko00002,ko01000,ko01003,ko01005",-,GT30,-,"Glycos_transf_1,Glycos_transf_N,Kdo"
hypothetical protein_312,2796,Antitoxin component of a toxin-antitoxin (TA) module,-,257,2883151,+,-,-,-,-,-,-,-,-,-,-,-,PhdYeFM_antitox
Vitamin B12 transporter BtuB_514,2797,receptor,-,2081,2884191,+,-,-,ko:K02014,-,-,-,-,"ko00000,ko02000",1.B.14,-,-,"Plug,TonB_dep_Rec"
hypothetical protein_513,2800,leucine binding,-,3149,2888801,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_208,2807,cytochrome c5,cyc,491,2894133,+,-,1.9.3.1,ko:K02277,"ko00190,ko01100,map00190,map01100",M00155,-,-,"ko00000,ko00001,ko00002,ko01000",3.D.4.4,-,-,Cytochrome_CBB3
hypothetical protein_102,2809,-,-,239,2895727,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_420,2812,Hemin uptake protein hemP,-,194,2898127,-,-,-,-,-,-,-,-,-,-,-,-,hemP
hypothetical protein_421,2813,-,-,419,2898494,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_101,2814,-,-,635,2899025,+,-,-,-,-,-,-,-,-,-,-,-,-
Kynureninase,2815,Aminotransferase class-V,-,1241,2899694,-,-,-,-,-,-,-,-,-,-,-,-,Aminotran_5
Isoaspartyl peptidase,2816,Asparaginase,-,911,2901038,+,-,3.4.19.5,ko:K13051,-,-,-,-,"ko00000,ko01000,ko01002",-,-,-,Asparaginase_2
"Tryptophan 2,3-dioxygenase",2817,Heme-dependent dioxygenase that catalyzes the oxidative cleavage of the L-tryptophan (L-Trp) pyrrole ring and converts L- tryptophan to N-formyl-L-kynurenine. Catalyzes the oxidative cleavage of the indole moiety,kynA,902,2901971,-,-,1.13.11.11,ko:K00453,"ko00380,ko01100,map00380,map01100",M00038,R00678,RC00356,"ko00000,ko00001,ko00002,ko01000",-,-,-,Trp_dioxygenase
hypothetical protein_422,2821,"Interacts with outer membrane receptor proteins that carry out high-affinity binding and energy dependent uptake into the periplasmic space of specific substrates. It could act to transduce energy from the cytoplasmic membrane to specific energy- requiring processes in the outer membrane, resulting in the release into the periplasm of ligands bound by these outer membrane proteins",-,785,2906687,+,-,-,ko:K03832,-,-,-,-,"ko00000,ko02000",2.C.1.1,-,-,TonB_C
Tol-Pal system protein TolQ,2822,MotA TolQ ExbB proton channel,-,761,2907482,+,-,-,ko:K03561,-,-,-,-,"ko00000,ko02000",1.A.30.2.1,-,-,MotA_ExbB
Tol-Pal system protein TolR,2823,biopolymer transport protein,exbD1,503,2908247,+,-,-,"ko:K03559,ko:K03560",-,-,-,-,"ko00000,ko02000","1.A.30.2.1,1.A.30.2.2",-,-,ExbD
hypothetical protein_233,2824,nuclease,-,539,2909255,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_193,2827,Polyketide cyclase / dehydrase and lipid transport,-,419,2911304,-,-,-,-,-,-,-,-,-,-,-,-,Polyketide_cyc2
Peptidoglycan-associated lipoprotein,2829,Belongs to the ompA family,-,791,2917772,-,-,-,-,-,-,-,-,-,-,-,-,"DUF4398,OmpA"
hypothetical protein_258,2830,Domain of unknown function (DUF4398),-,386,2918560,-,-,-,-,-,-,-,-,-,-,-,-,DUF4398
Glutamate racemase,2831,Provides the (R)-glutamate required for cell wall biosynthesis,murI,854,2919125,-,-,5.1.1.3,ko:K01776,"ko00471,ko01100,map00471,map01100",-,R00260,RC00302,"ko00000,ko00001,ko01000,ko01011",-,-,-,Asp_Glu_race
hypothetical protein_10,2832,Class II Aldolase and Adducin N-terminal domain,-,653,2920023,-,-,-,-,-,-,-,-,-,-,-,-,Aldolase_II
hypothetical protein_259,2833,-,-,575,2920743,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_11,2835,transport system,-,2897,2922416,+,-,-,ko:K01992,-,M00254,-,-,"ko00000,ko00002,ko02000",3.A.1,-,-,"ABC2_membrane_2,ABC_transp_aux"
hypothetical protein_12,2836,Domain of unknown function (DUF4340),-,986,2925316,+,-,-,-,-,-,-,-,-,-,-,-,DUF4340
Putative phospholipase A1,2837,PFAM phospholipase A1,-,1184,2926302,+,-,"3.1.1.32,3.1.1.4",ko:K01058,"ko00564,ko00565,ko00590,ko00591,ko00592,ko01100,ko01110,map00564,map00565,map00590,map00591,map00592,map01100,map01110",-,"R01315,R01316,R01317,R02053,R02054,R04034,R07064,R07379,R07387,R07859,R07860","RC00020,RC00037,RC00041,RC00094","ko00000,ko00001,ko01000",-,-,-,PLA1
Ferredoxin 1,2838,Ferredoxins are iron-sulfur proteins that transfer electrons in a wide variety of metabolic reactions,-,323,2927556,-,-,-,ko:K05524,-,-,-,-,ko00000,-,-,-,"DUF3470,Fer4"
hypothetical protein_13,2839,protein SCO1 SenC PrrC involved in biogenesis of respiratory and photosynthetic systems,-,569,2927983,-,-,-,ko:K07152,-,-,-,-,"ko00000,ko03029",-,-,-,"SCO1-SenC,ZnuA"
hypothetical protein_14,2840,Metallo-beta-lactamase superfamily,-,608,2928965,+,-,-,-,-,-,-,-,-,-,-,-,Lactamase_B_5
hypothetical protein_567,2843,-,-,224,2931106,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_566,2845,-,-,191,2931782,+,-,-,-,-,-,-,-,-,-,-,-,-
putative lipoprotein YiaD,2848,Belongs to the ompA family,-,659,2934376,+,-,-,-,-,-,-,-,-,-,-,-,"Gly-zipper_Omp,OmpA"
hypothetical protein_301,2852,AIG2-like family,-,554,2938566,+,-,-,-,-,-,-,-,-,-,-,-,AIG2_2
hypothetical protein_456,2856,PFAM Outer membrane lipoprotein Slp,-,539,2943511,+,-,-,ko:K07285,-,-,-,-,ko00000,-,-,-,Slp
Virginiamycin B lyase_457,2861,COG4257 Streptogramin lyase,-,1880,2947498,-,-,-,-,-,-,-,-,-,-,-,-,CarboxypepD_reg
RNA polymerase-associated protein RapA,2865,"Transcription regulator that activates transcription by stimulating RNA polymerase (RNAP) recycling in case of stress conditions such as supercoiled DNA or high salt concentrations. Probably acts by releasing the RNAP, when it is trapped or immobilized on tightly supercoiled DNA. Does not activate transcription on linear DNA. Probably not involved in DNA repair",-,788,2954442,+,-,-,-,-,-,-,-,-,-,-,-,"Helicase_C,ResIII,SNF2_N"
hypothetical protein_537,2869,-,-,404,2957011,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_637,2874,Rossmann fold nucleotide-binding protein involved in DNA uptake,-,1373,2966772,+,-,-,-,-,-,-,-,-,-,-,-,DNA_processg_A
Antitoxin HigA,2875,"TIGRFAM Addiction module antidote protein, HigA",higA,266,2968343,+,-,-,ko:K21498,-,-,-,-,"ko00000,ko02048",-,-,-,HTH_3
hypothetical protein_227,2883,PFAM Glutathione S-transferase domain,yibF,170,2972343,+,-,-,-,-,-,-,-,-,-,-,-,"GST_C_2,GST_N_3"
hypothetical protein_260,2886,ribonuclease BN,-,1400,2973937,-,-,-,ko:K07058,-,-,-,-,ko00000,-,-,-,"Rrf2,Virul_fac_BrkB"
hypothetical protein_166,2890,ABC-type transport auxiliary lipoprotein component,-,629,2979521,-,-,-,ko:K18480,-,M00669,-,-,"ko00000,ko00002,ko02000",3.A.1.27.1,-,-,ABC_trans_aux
hypothetical protein_167,2891,PFAM Mammalian cell entry related domain protein,-,914,2980175,-,-,-,ko:K02067,"ko02010,map02010","M00210,M00669,M00670",-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.27,-,-,MlaD
Bacterioferritin,2895,"Iron-storage protein, whose ferroxidase center binds Fe(2 ) ions, oxidizes them by dioxygen to Fe(3 ), and participates in the subsequent Fe(3 ) oxide mineral core formation within the central cavity of the protein complex",-,464,2985129,+,-,1.16.3.1,ko:K03594,"ko00860,map00860",-,R00078,RC02758,"ko00000,ko00001,ko01000",-,-,-,Ferritin
putative M18 family aminopeptidase 2,2896,M18 family aminopeptidase,apeB,1307,2985748,+,"GO:0003674,GO:0003824,GO:0004177,GO:0005488,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008238,GO:0008270,GO:0016787,GO:0019538,GO:0043167,GO:0043169,GO:0043170,GO:0044238,GO:0046872,GO:0046914,GO:0070011,GO:0071704,GO:0140096,GO:1901564",3.4.11.21,ko:K01267,-,-,-,-,"ko00000,ko01000,ko01002,ko04131",-,-,-,Peptidase_M18
Bifunctional ligase/repressor BirA,2897,"Acts both as a biotin-- acetyl-CoA-carboxylase ligase and a biotin-operon repressor. In the presence of ATP, BirA activates biotin to form the BirA-biotinyl-5'-adenylate (BirA-bio- 5'-AMP or holoBirA) complex. HoloBirA can either transfer the biotinyl moiety to the biotin carboxyl carrier protein (BCCP) subunit of acetyl-CoA carboxylase, or bind to the biotin operator site and inhibit transcription of the operon",birA,998,2987066,+,-,6.3.4.15,ko:K03524,"ko00780,ko01100,map00780,map01100",-,"R01074,R05145","RC00043,RC00070,RC00096,RC02896","ko00000,ko00001,ko01000,ko03000",-,-,-,"BPL_C,BPL_LplA_LipB,HTH_11"
Type III pantothenate kinase,2898,"Catalyzes the phosphorylation of pantothenate (Pan), the first step in CoA biosynthesis",coaX,752,2988061,+,-,2.7.1.33,ko:K03525,"ko00770,ko01100,map00770,map01100",M00120,"R02971,R03018,R04391","RC00002,RC00017","ko00000,ko00001,ko00002,ko01000",-,-,-,Pan_kinase
hypothetical protein_356,2903,Parallel beta-helix repeats,-,1343,2991552,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_261,2904,Diguanylate cyclase,-,2837,2993485,+,-,-,-,-,-,-,-,-,-,-,-,"CHASE,EAL,GGDEF,MASE1"
hypothetical protein_218,2917,"TIGRFAM CRISPR-associated protein, NE0113",-,1160,3008323,-,-,-,-,-,-,-,-,-,-,-,-,Cas_NE0113
hypothetical protein_170,2918,-,-,314,3009664,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_565,2919,COG1012 NAD-dependent aldehyde dehydrogenases,-,1736,3010106,-,-,-,-,-,-,-,-,-,-,-,-,Aldedh
hypothetical protein_527,2920,PFAM blue (type 1) copper domain protein,-,419,3012053,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_526,2921,Domain of unknown function (DUF3943),VP1938,899,3012552,-,-,-,-,-,-,-,-,-,-,-,-,"DUF3943,OMP_b-brl"
Putative acyl-CoA dehydrogenase YdbM,2923,acyl-CoA dehydrogenase activity,-,1217,3014367,-,-,1.14.14.30,ko:K21281,-,-,-,-,"ko00000,ko01000",-,-,-,"Acyl-CoA_dh_1,Acyl-CoA_dh_2,Acyl-CoA_dh_M,Acyl-CoA_dh_N"
hypothetical protein_525,2924,fatty acid desaturase,-,1055,3015700,-,-,-,-,-,-,-,-,-,-,-,-,NAD_binding_4
hypothetical protein_238,2925,Polyketide cyclase / dehydrase and lipid transport,-,440,3016752,-,-,-,-,-,-,-,-,-,-,-,-,Polyketide_cyc
Putrescine aminotransferase,2926,PFAM Aminotransferase class-III,argD,1244,3017207,-,-,-,-,-,-,-,-,-,-,-,-,Aminotran_3
Protein adenylyltransferase SelO,2927,Belongs to the UPF0061 (SELO) family,-,1634,3018852,-,-,-,-,-,-,-,-,-,-,-,-,UPF0061
hypothetical protein_176,2930,-,-,578,3023535,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_177,2931,Uncharacterized conserved protein (DUF2183),-,1199,3024268,-,-,-,-,-,-,-,-,-,-,-,-,DUF2183
Cobalt/magnesium transport protein CorA,2932,Mediates influx of magnesium ions,corA,965,3025706,-,-,-,ko:K03284,-,-,-,-,"ko00000,ko02000","1.A.35.1,1.A.35.3",-,-,CorA
Fatty acid oxidation complex subunit alpha,2935,Enoyl-CoA hydratase isomerase family,-,2915,3029236,-,-,"1.1.1.35,4.2.1.17,5.1.2.3","ko:K01782,ko:K07516","ko00071,ko00280,ko00281,ko00310,ko00362,ko00380,ko00410,ko00640,ko00650,ko00903,ko00930,ko01040,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00071,map00280,map00281,map00310,map00362,map00380,map00410,map00640,map00650,map00903,map00930,map01040,map01100,map01110,map01120,map01130,map01200,map01212","M00032,M00087","R01975,R03026,R03045,R03276,R04137,R04170,R04203,R04204,R04224,R04737,R04738,R04739,R04740,R04741,R04743,R04744,R04745,R04746,R04748,R04749,R05066,R05305,R06411,R06412,R06941,R06942,R07935,R07951,R08093,R08094","RC00029,RC00099,RC00117,RC00241,RC00525,RC00831,RC00834,RC00896,RC01086,RC01095,RC01098,RC01103,RC01217,RC02115","ko00000,ko00001,ko00002,ko01000",-,-,-,ECH_1
D-inositol-3-phosphate glycosyltransferase_200,2940,glycosyl transferase group 1,-,1112,3036682,+,-,-,-,-,-,-,-,-,-,-,-,"Glyco_trans_4_4,Glyco_transf_4,Glycos_transf_1"
hypothetical protein_521,2945,endonuclease containing a URI domain,-,296,3040961,-,-,-,ko:K07461,-,-,-,-,ko00000,-,-,-,GIY-YIG
hypothetical protein_419,2950,-,-,395,3044451,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_100,2952,Belongs to the short-chain dehydrogenases reductases (SDR) family,-,848,3045542,+,-,-,-,-,-,-,-,-,-,-,-,adh_short
hypothetical protein_99,2953,Aspartyl Asparaginyl beta-hydroxylase,-,806,3046433,+,-,-,ko:K12979,-,-,-,-,"ko00000,ko01000,ko01005",-,-,-,Asp_Arg_Hydrox
hypothetical protein_210,2961,Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases),-,212,3057818,+,-,1.1.1.100,ko:K00059,"ko00061,ko00333,ko00780,ko01040,ko01100,ko01130,ko01212,map00061,map00333,map00780,map01040,map01100,map01130,map01212","M00083,M00572","R04533,R04534,R04536,R04543,R04566,R04953,R04964,R07759,R07763,R10116,R10120,R11671","RC00029,RC00117","ko00000,ko00001,ko00002,ko01000,ko01004",-,-,-,"adh_short,adh_short_C2"
hypothetical protein_638,2962,-,-,620,3058008,-,-,-,-,-,-,-,-,-,-,-,-,-
L-lactate dehydrogenase,2970,COG1304 L-lactate dehydrogenase (FMN-dependent) and related alpha-hydroxy acid dehydrogenases,-,1154,3063845,-,-,1.1.2.3,ko:K00101,"ko00620,ko01100,map00620,map01100",-,R00196,RC00044,"ko00000,ko00001,ko01000",-,-,-,FMN_dh
"Toluene 1,2-dioxygenase system ferredoxin subunit",2973,PFAM Rieske 2Fe-2S,-,320,3067979,+,-,-,ko:K05710,"ko00360,ko01120,ko01220,map00360,map01120,map01220",M00545,"R06782,R06783",RC00098,"br01602,ko00000,ko00001,ko00002",-,-,-,Rieske
hypothetical protein_418,2974,-,-,245,3068317,+,-,-,-,-,-,-,-,-,-,-,-,-
Na(+)/H(+) antiporter subunit E1,2979,"'subunit E of antiporter complex involved in resistance to high concentrations of Na , K , Li and or alkali",phaE,488,3070812,-,-,-,ko:K05562,-,-,-,-,"ko00000,ko02000",2.A.63.1,-,-,MNHE
hypothetical protein_485,2988,Esterase-like activity of phytase,-,596,3084929,-,-,-,-,-,-,-,-,-,-,-,-,"CHRD,Phytase-like"
putative type I restriction enzymeP M protein,2991,Putative RNA methylase family UPF0020,-,1445,3086702,-,-,2.1.1.72,ko:K03427,-,-,-,-,"ko00000,ko01000,ko02048",-,-,-,"HsdM_N,N6_Mtase"
hypothetical protein_209,2992,Virulence protein RhuM family,-,155,3088160,-,-,-,-,-,-,-,-,-,-,-,-,"Fic,Virulence_RhuM"
REP-associated tyrosine transposase,2993,Transposase IS200 like,-,518,3088306,-,-,-,ko:K07491,-,-,-,-,ko00000,-,-,-,Y1_Tnp
hypothetical protein_484,2996,EcoEI R protein C-terminal,-,2765,3090675,-,-,3.1.21.3,ko:K01153,-,-,-,-,"ko00000,ko01000,ko02048",-,-,-,"EcoEI_R_C,Helicase_C,ResIII"
Acryloyl-CoA reductase (NADH),3007,acyl-CoA dehydrogenase,acdA,266,3101688,-,-,1.3.8.1,ko:K00248,"ko00071,ko00280,ko00650,ko01100,ko01110,ko01120,ko01200,ko01212,map00071,map00280,map00650,map01100,map01110,map01120,map01200,map01212",-,"R01175,R01178,R02661,R03172,R04751","RC00052,RC00068,RC00076,RC00120,RC00148","ko00000,ko00001,ko01000",-,-,-,"Acyl-CoA_dh_1,Acyl-CoA_dh_M,Acyl-CoA_dh_N"
hypothetical protein_161,3012,-,-,461,3106549,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_552,3017,-,-,1163,3112014,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_204,3036,carboxysome shell protein,-,317,3128118,+,-,-,-,-,-,-,-,-,-,-,-,BMC
hypothetical protein_639,3039,"Iron-storage protein, whose ferroxidase center binds Fe(2 ) ions, oxidizes them by dioxygen to Fe(3 ), and participates in the subsequent Fe(3 ) oxide mineral core formation within the central cavity of the protein complex",-,566,3129064,+,-,1.16.3.1,ko:K03594,"ko00860,map00860",-,R00078,RC02758,"ko00000,ko00001,ko01000",-,-,-,Ferritin
hypothetical protein_640,3040,pterin-4-alpha-carbinolamine dehydratase,-,263,3129575,+,-,4.2.1.96,ko:K01724,"ko00790,map00790",-,R04734,RC01208,"ko00000,ko00001,ko01000,ko04147",-,-,-,"Pterin_4a,TIR_2"
hypothetical protein_641,3041,-,-,266,3129853,+,-,-,-,-,-,-,-,-,-,-,-,-
"NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic",3043,"NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus",-,1676,3130645,+,-,1.6.5.3,ko:K00341,"ko00190,ko01100,map00190,map01100",M00144,R11945,RC00061,"ko00000,ko00001,ko00002,ko01000",3.D.1,-,-,"Proton_antipo_M,Proton_antipo_N"
hypothetical protein_642,3044,-,-,749,3132324,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_643,3045,Belongs to the UPF0753 family,-,3116,3133070,+,-,-,ko:K09822,-,-,-,-,ko00000,-,-,-,DUF2309
hypothetical protein_644,3046,Belongs to the P(II) protein family,-,326,3136183,+,-,-,-,-,-,-,-,-,-,-,-,P-II
hypothetical protein_32,3060,PFAM Isochorismatase,-,548,3143723,+,-,-,-,-,-,-,-,-,-,-,-,Isochorismatase
hypothetical protein_300,3066,Domain of unknown function (DUF4124),-,470,3148901,-,-,-,-,-,-,-,-,-,-,-,-,DUF4124
Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,3075,COG1807 4-amino-4-deoxy-L-arabinose transferase and related glycosyltransferases of PMT family,-,1616,3157361,-,-,-,-,-,-,-,-,-,-,-,-,PMT_2
DNA polymerase III subunit chi,3079,DNA polymerase III chi subunit,holC,434,3163025,-,"GO:0005575,GO:0005622,GO:0005623,GO:0006275,GO:0008150,GO:0009314,GO:0009360,GO:0009628,GO:0009889,GO:0009891,GO:0009893,GO:0010556,GO:0010557,GO:0010604,GO:0019219,GO:0019222,GO:0030174,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032298,GO:0032991,GO:0042575,GO:0043846,GO:0043847,GO:0044424,GO:0044464,GO:0045740,GO:0045935,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050896,GO:0051052,GO:0051054,GO:0051171,GO:0051173,GO:0060255,GO:0061695,GO:0065007,GO:0080090,GO:0090329,GO:1902494,GO:1990234,GO:2000105,GO:2000112",2.7.7.7,ko:K02339,"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440",M00260,"R00375,R00376,R00377,R00378",RC02795,"ko00000,ko00001,ko00002,ko01000,ko03032,ko03400",-,-,-,DNA_pol3_chi
Lipopolysaccharide export system permease protein LptG_294,3082,Permease YjgP YjgQ,-,1076,3166218,+,-,-,ko:K11720,"ko02010,map02010",M00320,-,-,"ko00000,ko00001,ko00002,ko02000",1.B.42.1,-,-,YjgP_YjgQ
hypothetical protein_293,3083,RDD family,-,476,3167301,-,-,-,-,-,-,-,-,-,-,-,-,RDD
hypothetical protein_560,3104,Beta-lactamase domain protein,-,1073,3188380,+,-,2.5.1.105,ko:K06897,"ko00790,map00790",-,R10339,RC00121,"ko00000,ko00001,ko01000",-,-,-,Lactamase_B
hypothetical protein_241,3105,PFAM sodium calcium exchanger,-,1025,3189719,+,-,-,ko:K07301,-,-,-,-,"ko00000,ko02000",2.A.19.5,-,-,Na_Ca_ex
hypothetical protein_559,3106,Domain of unknown function (DUF4168),-,335,3190854,-,-,-,-,-,-,-,-,-,-,-,-,DUF4168
hypothetical protein_645,3107,"Monooxygenase, FAD-binding",-,686,3191454,+,-,-,-,-,-,-,-,-,-,-,-,FAD_binding_3
Cell division coordinator CpoB,3154,Mediates coordination of peptidoglycan synthesis and outer membrane constriction during cell division,cpoB,878,3251553,-,-,-,-,-,-,-,-,-,-,-,-,"TPR_16,TPR_6,TolA_bind_tri,YfiO"
Acyl-CoA thioester hydrolase YbgC,3160,Tol-Pal system-associated acyl-CoA thioesterase,-,449,3256430,-,-,-,ko:K07107,-,-,-,-,"ko00000,ko01000",-,-,-,"4HBT,4HBT_2"
LPS-assembly protein LptD,3161,"Together with LptE, is involved in the assembly of lipopolysaccharide (LPS) at the surface of the outer membrane",lptD,2306,3257225,+,-,-,ko:K04744,-,-,-,-,"ko00000,ko02000",1.B.42.1,-,-,"OstA,OstA_C"
Chaperone SurA,3162,"Chaperone involved in the correct folding and assembly of outer membrane proteins. Recognizes specific patterns of aromatic residues and the orientation of their side chains, which are found more frequently in integral outer membrane proteins. May act in both early periplasmic and late outer membrane-associated steps of protein maturation",surA,1292,3259709,+,-,5.2.1.8,ko:K03771,-,-,-,-,"ko00000,ko01000,ko03110",-,-,-,"Rotamase,SurA_N"
Ribosomal RNA small subunit methyltransferase A,3164,Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a conserved hairpin near the 3'-end of 16S rRNA in the 30S particle. May play a critical role in biogenesis of 30S subunits,ksgA,815,3262036,+,-,2.1.1.182,ko:K02528,-,-,R10716,"RC00003,RC03257","ko00000,ko01000,ko03009",-,-,-,RrnaAD
N-acetylmuramate/N-acetylglucosamine kinase,3167,PFAM Aminoglycoside phosphotransferase,-,1022,3264455,+,-,2.7.1.221,ko:K07102,"ko00520,ko01100,map00520,map01100",-,"R08968,R11024","RC00002,RC00078","ko00000,ko00001,ko01000",-,-,-,APH
hypothetical protein_275,3169,Sulfotransferase family,-,956,3266213,-,-,-,-,-,-,-,-,-,-,-,-,Sulfotransfer_3
Tol-Pal system protein TolR_607,3185,PFAM Biopolymer transport protein ExbD TolR,-,401,3282910,+,-,-,ko:K03559,-,-,-,-,"ko00000,ko02000",1.A.30.2.1,-,-,ExbD
